time,body_name,x,y,z,vx,vy,vz
72000,Moon,1.49584e+11,2.52112e+09,7.31366e+07,-427.043,29582.7,1004.26
75600,Sun,53.9734,0.259547,0.000107467,0.00136294,9.81002e-06,4.07062e-09
75600,Earth,1.49582e+11,2.25138e+09,6332.56,-448.421,29779.3,0.239711
75600,Moon,1.49582e+11,2.62758e+09,7.67452e+07,-448.392,29572.8,1002.39
79200,Sun,59.1136,0.298387,0.000123586,0.00142784,1.07888e-05,4.47766e-09
79200,Earth,1.49581e+11,2.35859e+09,7281.62,-469.773,29779.1,0.263628
79200,Moon,1.49581e+11,2.73401e+09,8.03468e+07,-469.742,29562.9,1000.44
82800,Sun,64.4874,0.340917,0.000141241,0.00149274,1.1814e-05,4.90408e-09
82800,Earth,1.49579e+11,2.46579e+09,8320.83,-491.125,29778.9,0.288672
82800,Moon,1.49579e+11,2.8404e+09,8.3941e+07,-491.09,29553,998.387
86400,Sun,70.0949,0.387306,0.000160501,0.00155763,1.28858e-05,5.34988e-09
86400,Earth,1.49577e+11,2.57299e+09,9454.26,-512.476,29778.6,0.314841
86400,Moon,1.49577e+11,2.94675e+09,8.75274e+07,-512.439,29543,996.246
90000,Sun,75.936,0.437721,0.000181435,0.00162253,1.40041e-05,5.81506e-09
90000,Earth,1.49575e+11,2.6802e+09,10685.9,-533.827,29778.4,0.342134
90000,Moon,1.49575e+11,3.05307e+09,9.11059e+07,-533.787,29533.1,994.013
93600,Sun,82.0107,0.492329,0.000204113,0.00168742,1.51689e-05,6.29962e-09
93600,Earth,1.49573e+11,2.7874e+09,12019.9,-555.178,29778.1,0.370548
93600,Moon,1.49573e+11,3.15936e+09,9.4676e+07,-555.135,29523.2,991.689
97200,Sun,88.3191,0.551298,0.000228606,0.00175231,1.63802e-05,6.80355e-09
97200,Earth,1.49571e+11,2.8946e+09,13460.2,-576.529,29777.8,0.400081
97200,Moon,1.49571e+11,3.26561e+09,9.82374e+07,-576.483,29513.4,989.273
100800,Sun,94.861,0.614794,0.000254983,0.00181721,1.7638e-05,7.32687e-09
100800,Earth,1.49569e+11,3.0018e+09,15010.8,-597.879,29777.5,0.430731
100800,Moon,1.49569e+11,3.37182e+09,1.0179e+08,-597.83,29503.5,986.766
